,country,num_high_quality_articles,num_articles,prop_high_quality_articles
72,Tanzania,1.0,408.0,0.2450980392%
22,Czech Republic,1.0,254.0,0.3937007874%
89,Lithuania,1.0,248.0,0.4032258065%
135,Morocco,1.0,208.0,0.4807692308%
8,Fiji,1.0,199.0,0.5025125628%
3,Uganda,1.0,188.0,0.5319148936%
68,Bolivia,1.0,187.0,0.5347593583%
57,Luxembourg,1.0,180.0,0.5555555556%
37,Peru,2.0,354.0,0.5649717514%
73,Sierra Leone,1.0,166.0,0.6024096386%
