,country,num_high_quality_articles,num_articles,prop_high_quality_articles
119,"Korea, North",9.0,39.0,23.0769230769%
128,Saudi Arabia,14.0,119.0,11.7647058824%
167,Uzbekistan,3.0,29.0,10.3448275862%
172,Central African Republic,7.0,68.0,10.2941176471%
55,Romania,34.0,348.0,9.7701149425%
144,Guinea-Bissau,2.0,21.0,9.5238095238%
156,Bhutan,3.0,33.0,9.0909090909%
91,Vietnam,16.0,191.0,8.3769633508%
181,Dominica,1.0,12.0,8.3333333333%
162,Mauritania,4.0,52.0,7.6923076923%
